Aula,Horario
SIN_P2_OB_03_A,SEG_N1_N2
SIN_P4_OB_04_B,SEG_N1_N2
SIN_P9_OP_02_A,SEG_N1_N2
SIN_P7_OP_02_A,SEG_N1_N2
SIN_P8_OB_03_A,SEG_N1_N2
SIN_P5_OP_02_A,SEG_N1_N2
SIN_P1_OB_03_A,SEG_N1_N2
SIN_P3_OB_01_A,SEG_N1_N2
CCO_P5_OP_01_A,SEG_M3_M4
CCO_P8_OB_03_A,SEG_M3_M4
CCO_P3_OB_02_A,SEG_M3_M4
CCO_P7_OP_01_B,SEG_M3_M4
CCO_P5_OP_02_A,SEG_M3_M4
CCO_P4_OB_05_A,SEG_M3_M4
CCO_P6_OB_01_B,SEG_M3_M4
CCO_P1_OB_05_A,SEG_M3_M4
SIN_P2_OB_05_B,TER_N1_N2
SIN_P4_OB_01_B,TER_N1_N2
SIN_P6_OB_03_A,TER_N1_N2
SIN_P3_OB_04_A,TER_N1_N2
SIN_P8_OB_01_A,TER_N1_N2
SIN_P5_OP_02_B,TER_N1_N2
SIN_P9_OB_03_A,TER_N1_N2
SIN_P7_OB_01_A,TER_N1_N2
CCO_P2_OB_03_A,TER_M3_M4
CCO_P3_OB_01_A,TER_M3_M4
CCO_P1_OB_04_A,TER_M3_M4
CCO_P7_OB_01_A,TER_M3_M4
CCO_P8_OB_01_B,TER_M3_M4
CCO_P5_OP_02_B,TER_M3_M4
CCO_P6_OB_01_A,TER_M3_M4
SIN_P2_OB_05_A,QUA_N1_N2
SIN_P9_OB_02_B,QUA_N1_N2
SIN_P3_OB_04_B,QUA_N1_N2
SIN_P7_OP_02_B,QUA_N1_N2
SIN_P8_OB_03_B,QUA_N1_N2
SIN_P6_OB_02_A,QUA_N1_N2
SIN_P5_OB_01_A,QUA_N1_N2
SIN_P1_OB_01_A,QUA_N1_N2
CCO_P6_OB_02_A,QUA_M3_M4
CCO_P3_OB_02_B,QUA_M3_M4
CCO_P7_OB_02_A,QUA_M3_M4
CCO_P2_OB_04_A,QUA_M3_M4
CCO_P8_OP_02_A,QUA_M3_M4
CCO_P1_OB_05_B,QUA_M3_M4
CCO_P5_OB_01_A,QUA_M3_M4
CCO_P8_OP_01_B,QUA_M3_M4
SIN_P8_OP_01_A,QUI_N1_N2
SIN_P4_OB_03_B,QUI_N1_N2
SIN_P8_OP_02_A,QUI_N1_N2
SIN_P9_OB_02_A,QUI_N1_N2
SIN_P1_OB_05_B,QUI_N1_N2
SIN_P2_OB_01_A,QUI_N1_N2
SIN_P7_OB_03_A,QUI_N1_N2
SIN_P3_OB_05_A,QUI_N1_N2
SIN_P5_OB_02_A,QUI_N1_N2
CCO_P4_OB_01_B,QUI_M3_M4
CCO_P3_OB_01_B,QUI_M3_M4
CCO_P7_OB_02_B,QUI_M3_M4
CCO_P2_OB_04_B,QUI_M3_M4
CCO_P8_OB_01_A,QUI_M3_M4
CCO_P6_OP_01_B,QUI_M3_M4
CCO_P1_OB_03_B,QUI_M3_M4
SIN_P8_OB_02_B,SEX_N1_N2
SIN_P6_OP_02_B,SEX_N1_N2
SIN_P2_OB_04_A,SEX_N1_N2
SIN_P5_OP_01_B,SEX_N1_N2
SIN_P1_OB_05_A,SEX_N1_N2
SIN_P3_OB_02_A,SEX_N1_N2
SIN_P9_OB_03_B,SEX_N1_N2
SIN_P7_OB_02_A,SEX_N1_N2
CCO_P2_OB_03_B,SEX_M3_M4
CCO_P4_OB_02_A,SEX_M3_M4
CCO_P6_OP_02_B,SEX_M3_M4
CCO_P7_OB_01_B,SEX_M3_M4
CCO_P3_OB_03_B,SEX_M3_M4
CCO_P8_OP_02_B,SEX_M3_M4
CCO_P6_OP_01_A,SEX_M3_M4
CCO_P1_OB_03_A,SEX_M3_M4
CCO_P8_OP_01_A,SEX_M3_M4
CCO_P7_OP_01_A,SEG_T3_T4
CCO_P5_OB_03_B,SEG_T3_T4
CCO_P7_OP_02_B,SEG_T3_T4
CCO_P3_OB_04_A,SEG_T3_T4
CCO_P2_OB_01_B,SEG_T3_T4
CCO_P6_OB_03_A,SEG_T3_T4
CCO_P1_OB_04_B,SEG_T3_T4
CCO_P1_OB_01_B,TER_T3_T4
CCO_P5_OB_03_A,TER_T3_T4
CCO_P7_OP_02_A,TER_T3_T4
CCO_P2_OB_05_A,TER_T3_T4
CCO_P3_OB_05_A,TER_T3_T4
CCO_P8_OB_02_B,TER_T3_T4
CCO_P4_OB_04_B,TER_T3_T4
CCO_P1_OB_01_A,QUA_T3_T4
CCO_P2_OB_05_B,QUA_T3_T4
CCO_P4_OB_03_A,QUA_T3_T4
CCO_P3_OB_05_B,QUA_T3_T4
CCO_P8_OB_02_A,QUA_T3_T4
CCO_P6_OP_02_A,QUA_T3_T4
CCO_P5_OB_02_B,QUA_T3_T4
CCO_P7_OB_03_A,QUA_T3_T4
CCO_P2_OB_01_A,QUI_T3_T4
CCO_P4_OB_01_A,QUI_T3_T4
CCO_P5_OB_02_A,QUI_T3_T4
CCO_P3_OB_03_A,QUI_T3_T4
CCO_P1_OB_02_A,SEX_T3_T4
CCO_P2_OB_02_B,SEX_T3_T4
CCO_P5_OP_01_B,SEG_M1_M2
SIN_P2_OB_03_B,SEG_N3_N4
CCO_P2_OB_02_A,SEG_M1_M2
CCO_P4_OB_04_A,SEG_M1_M2
SIN_P4_OB_01_A,SEG_N3_N4
SIN_P8_OP_02_B,SEG_N3_N4
SIN_P5_OP_01_A,SEG_N3_N4
SIN_P6_OB_01_A,SEG_N3_N4
SIN_P3_OB_02_B,SEG_N3_N4
SIN_P1_OB_02_B,SEG_N3_N4
SIN_P8_OP_01_B,TER_N3_N4
SIN_P6_OP_02_A,TER_N3_N4
SIN_P9_OP_02_B,TER_N3_N4
SIN_P4_OB_04_A,TER_N3_N4
SIN_P7_OB_03_B,TER_N3_N4
SIN_P1_OB_02_A,TER_N3_N4
SIN_P3_OB_05_B,TER_N3_N4
SIN_P8_OB_02_A,QUA_N3_N4
SIN_P2_OB_04_B,QUA_N3_N4
SIN_P4_OB_03_A,QUA_N3_N4
SIN_P3_OB_03_B,QUA_N3_N4
SIN_P3_OB_03_A,QUI_N3_N4
SIN_P1_OB_04_B,QUI_N3_N4
SIN_P1_OB_04_A,SEX_N3_N4
SIN_P9_OB_01_A,SEG_N3_N4_N5
SIN_P2_OB_02_A,TER_N3_N4_N5
SIN_P9_OP_01_A,TER_N3_N4_N5
SIN_P5_OB_03_A,QUA_N3_N4_N5
SIN_P6_OP_01_A,QUA_N3_N4_N5
SIN_P4_OB_02_A,QUI_N3_N4_N5
SIN_P7_OP_01_A,SEX_N3_N4_N5
SIN_P4_OB_05_A,SEX_N3_N4_N5
